Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
commed-prueba-gasas,PRUEBA — Gasas,Presentación,Paquete 10,,,,,TEST-COMMED-001-01,,,Shop location,,0,0,0,0,0,30
commed-prueba-gasas,PRUEBA — Gasas,Presentación,Paquete 50,,,,,TEST-COMMED-001-02,,,Shop location,,0,0,0,0,0,12
commed-prueba-vendas,PRUEBA — Vendas,Ancho,5 cm,,,,,TEST-COMMED-002-01,,,Shop location,,0,0,0,0,0,40
commed-prueba-vendas,PRUEBA — Vendas,Ancho,10 cm,,,,,TEST-COMMED-002-02,,,Shop location,,0,0,0,0,0,20
commed-prueba-cinta-medica,PRUEBA — Cinta médica,Title,Default Title,,,,,TEST-COMMED-003-01,,,Shop location,,0,0,0,0,0,25
commed-prueba-antiseptico,PRUEBA — Antiséptico,Title,Default Title,,,,,TEST-COMMED-004-01,,,Shop location,,0,0,0,0,0,0
commed-prueba-guantes,PRUEBA — Guantes para procedimiento,Talla,CH,,,,,TEST-COMMED-005-01,,,Shop location,,0,0,0,0,0,15
commed-prueba-guantes,PRUEBA — Guantes para procedimiento,Talla,M,,,,,TEST-COMMED-005-02,,,Shop location,,0,0,0,0,0,2
commed-prueba-guantes,PRUEBA — Guantes para procedimiento,Talla,G,,,,,TEST-COMMED-005-03,,,Shop location,,0,0,0,0,0,0
commed-prueba-suturas,PRUEBA — Suturas,Presentación,Unidad,,,,,TEST-COMMED-006-01,,,Shop location,,0,0,0,0,0,20
commed-prueba-suturas,PRUEBA — Suturas,Presentación,Caja 12,,,,,TEST-COMMED-006-02,,,Shop location,,0,0,0,0,0,8
commed-prueba-bata,PRUEBA — Bata para procedimiento,Talla,CH,,,,,TEST-COMMED-007-01,,,Shop location,,0,0,0,0,0,10
commed-prueba-bata,PRUEBA — Bata para procedimiento,Talla,M,,,,,TEST-COMMED-007-02,,,Shop location,,0,0,0,0,0,10
commed-prueba-bata,PRUEBA — Bata para procedimiento,Talla,G,,,,,TEST-COMMED-007-03,,,Shop location,,0,0,0,0,0,10
commed-prueba-drenaje,PRUEBA — Sistema de drenaje,Title,Default Title,,,,,TEST-COMMED-008-01,,,Shop location,,0,0,0,0,0,5
commed-prueba-baumanometro,PRUEBA — Baumanómetro digital,Title,Default Title,,,,,TEST-COMMED-009-01,,,Shop location,,0,0,0,0,0,8
commed-prueba-gel-ultrasonido,PRUEBA — Gel para ultrasonido,Presentación,250 ml,,,,,TEST-COMMED-010-01,,,Shop location,,0,0,0,0,0,20
commed-prueba-gel-ultrasonido,PRUEBA — Gel para ultrasonido,Presentación,1 L,,,,,TEST-COMMED-010-02,,,Shop location,,0,0,0,0,0,6
commed-prueba-rollo-ecg,PRUEBA — Rollo para electrocardiograma,Title,Default Title,,,,,TEST-COMMED-011-01,,,Shop location,,0,0,0,0,0,3
commed-prueba-recipiente-muestra,PRUEBA — Recipiente para muestra,Title,Default Title,,,,,TEST-COMMED-012-01,,,Shop location,,0,0,0,0,0,50
commed-prueba-abatelenguas,PRUEBA — Abatelenguas,Title,Default Title,,,,,TEST-COMMED-013-01,,,Shop location,,0,0,0,0,0,30
commed-prueba-jeringas,PRUEBA — Jeringas,Capacidad,3 ml,,,,,TEST-COMMED-014-01,,,Shop location,,0,0,0,0,0,60
commed-prueba-jeringas,PRUEBA — Jeringas,Capacidad,5 ml,,,,,TEST-COMMED-014-02,,,Shop location,,0,0,0,0,0,40
commed-prueba-jeringas,PRUEBA — Jeringas,Capacidad,10 ml,,,,,TEST-COMMED-014-03,,,Shop location,,0,0,0,0,0,20
commed-prueba-tubos,PRUEBA — Tubos de demostración,Longitud,1 m,,,,,TEST-COMMED-015-01,,,Shop location,,0,0,0,0,0,15
commed-prueba-tubos,PRUEBA — Tubos de demostración,Longitud,2 m,,,,,TEST-COMMED-015-02,,,Shop location,,0,0,0,0,0,5
commed-prueba-bolsa-alimentacion,PRUEBA — Bolsa para alimentación,Title,Default Title,,,,,TEST-COMMED-016-01,,,Shop location,,0,0,0,0,0,0
